Date,HINDUNILVRNS,UL,RYTO,^NSEBANK,HSBC
2017-12-20,1256.8551025390625,46.71673583984375,84.18898010253906,25591.69921875,40.730369567871094
2017-12-21,1243.7574462890625,46.489139556884766,84.56720733642578,25554.30078125,41.02527618408203
2017-12-22,1251.1824951171875,46.598716735839844,84.23829650878906,25648.55078125,41.176719665527344
2017-12-26,1243.4345703125,46.7673225402832,,,
2017-12-27,1247.447021484375,46.71673583984375,84.04918670654297,25496.05078125,41.03324890136719
2017-12-28,1249.338134765625,46.62401580810547,84.36164093017578,25490.0,41.06513214111328
2017-12-29,1261.6510009765625,46.64929962158203,84.40276336669922,25539.44921875,41.16078186035156
2018-01-01,1240.1142578125,,,,
2018-01-02,1234.6722412109375,46.23625183105469,84.6494140625,25338.25,41.77452850341797
2018-01-03,1245.5098876953125,46.17724609375,85.42233276367188,25318.599609375,41.56728744506836
2018-01-04,1247.2623291015625,46.455413818359375,86.24456787109375,25462.599609375,41.65496826171875
2018-01-05,1251.2286376953125,46.817893981933594,86.12124633789062,25601.849609375,41.583229064941406
2018-01-08,1262.1585693359375,46.89375305175781,85.76765441894531,25676.099609375,41.24845886230469
2018-01-09,1255.60986328125,46.421695709228516,86.20344543457031,25703.80078125,41.56728744506836
2018-01-10,1259.7603759765625,45.595603942871094,86.34324645996094,25617.30078125,42.97810363769531
2018-01-11,1271.612548828125,45.536598205566406,86.40080261230469,25660.900390625,43.2809944152832
2018-01-12,1267.3236083984375,45.95807647705078,86.46656036376953,25749.05078125,43.70344161987305
2018-01-15,1261.0516357421875,,,,
2018-01-16,1274.702392578125,46.38798904418945,86.9681396484375,25974.900390625,43.75923538208008
2018-01-17,1264.7410888671875,46.978057861328125,87.3874740600586,26289.099609375,44.333133697509766
2018-01-18,1251.5975341796875,47.0960693359375,87.90550994873047,26537.400390625,44.14979934692383
2018-01-19,1256.6702880859375,48.11604690551758,88.5715103149414,26909.5,44.125892639160156
2018-01-22,1249.89111328125,48.07389450073242,88.84284210205078,27041.19921875,44.213565826416016
2018-01-23,1262.112548828125,48.34364318847656,88.27549743652344,27390.599609375,44.205596923828125
2018-01-24,1259.8526611328125,48.60496520996094,87.91060638427734,27398.55078125,44.31718063354492
2018-01-25,1266.1708984375,47.81258773803711,87.50425720214844,27445.650390625,43.93459701538086
2018-01-29,1288.8145751953125,47.16350173950195,87.18914031982422,27498.44921875,43.631710052490234
2018-01-30,1291.535888671875,47.559688568115234,87.44622039794922,27269.05078125,43.20128631591797
2018-01-31,1263.03466796875,47.601837158203125,87.33842468261719,27379.44921875,42.97013473510742
2018-02-01,1264.787109375,48.41950988769531,86.79940795898438,27220.69921875,43.14549255371094
2018-02-02,1265.66357421875,47.83787155151367,85.8706283569336,26451.150390625,42.475948333740234
2018-02-05,1250.4908447265625,45.45230484008789,83.87207794189453,26098.75,41.11296081542969
2018-02-06,1222.450927734375,45.89907455444336,84.04622650146484,25811.30078125,41.72669982910156
2018-02-07,1210.737060546875,45.19941329956055,83.81404113769531,25670.0,41.24049377441406
