Date,Open,High,Low,Close,Adj Close,Volume
02/01/2017,998.617004,1191.099976,823.55603,911.198975,911.198975,2052639008
09/01/2017,913.244019,919.447998,755.755981,821.797974,821.797974,1123984880
16/01/2017,821.78302,937.525024,820.270996,924.672974,924.672974,883611600
23/01/2017,925.499023,928.265991,891.687012,919.495972,919.495972,693151900
30/01/2017,920.151001,1045.900024,919.473999,1027.339966,1027.339966,1009290288
06/02/2017,1028.400024,1088.98999,946.690979,999.18103,999.18103,1227087016
13/02/2017,998.88501,1061.099976,976.002014,1047.869995,1047.869995,763560200
20/02/2017,1048.689941,1200.390015,1041.689941,1165.199951,1165.199951,1209106992
27/02/2017,1163.780029,1280.310059,1163.380005,1267.119995,1267.119995,1546994008
06/03/2017,1267.469971,1276,1077.25,1221.380005,1221.380005,2064090976
13/03/2017,1221.780029,1257.97998,957.655029,1036.73999,1036.73999,3296504976
20/03/2017,1037.23999,1122.430054,903.713013,966.724976,966.724976,2483811008
27/03/2017,972.054993,1107.589966,971.984009,1102.170044,1102.170044,2601401984
03/04/2017,1102.949951,1197.209961,1102.949951,1187.869995,1187.869995,2711437088
10/04/2017,1187.300049,1208.069946,1156.439941,1182.939941,1182.939941,1714353040
17/04/2017,1183.25,1240.790039,1172.650024,1207.209961,1207.209961,1907337008
24/04/2017,1209.630005,1347.910034,1209.630005,1347.890015,1347.890015,2620499984
01/05/2017,1348.300049,1618.030029,1348.300049,1596.709961,1596.709961,5316902848
08/05/2017,1596.920044,1873.930054,1596.920044,1808.910034,1808.910034,5981268000
15/05/2017,1808.439941,2119.080078,1661.910034,2041.199951,2041.199951,6916110976
22/05/2017,2043.189941,2763.709961,1855.829956,2155.800049,2155.800049,12064150016
29/05/2017,2159.429932,2585.889893,2107.169922,2511.810059,2511.810059,9823705088
05/06/2017,2512.399902,2999.909912,2510.219971,2958.110107,2958.110107,11378039936
12/06/2017,2953.219971,2997.26001,2212.959961,2548.290039,2548.290039,11981910016
19/06/2017,2549.030029,2772.01001,2549.030029,2589.409912,2589.409912,9130718976
26/06/2017,2590.570068,2615.25,2332.98999,2506.469971,2506.469971,7730852928
03/07/2017,2498.560059,2916.139893,2480.469971,2518.439941,2518.439941,5831748992
10/07/2017,2525.25,2537.159912,1843.030029,1929.819946,1929.819946,7453121024
17/07/2017,1932.619995,2900.699951,1932.619995,2730.399902,2730.399902,9947990080
24/07/2017,2732.699951,2897.449951,2450.800049,2757.179932,2757.179932,6942860928
31/07/2017,2763.23999,3293.290039,2668.590088,3213.939941,3213.939941,8137841920
07/08/2017,3212.780029,4208.390137,3180.889893,4073.26001,4073.26001,13618979840
14/08/2017,4066.100098,4484.700195,3906.179932,4087.659912,4087.659912,18573839872
21/08/2017,4090.47998,4455.700195,3674.580078,4382.879883,4382.879883,15749739904
28/08/2017,4384.450195,4975.040039,4224.640137,4582.959961,4582.959961,15582599936
04/09/2017,4591.629883,4661,3951.040039,4122.939941,4122.939941,15468230272
11/09/2017,4122.470215,4344.649902,2946.620117,3582.879883,3582.879883,15563199872
18/09/2017,3591.090088,4094.070068,3553.530029,3682.840088,3682.840088,9023459008
25/09/2017,3681.580078,4403.740234,3681.580078,4403.740234,4403.740234,9599860096
02/10/2017,4395.810059,4624.140137,4164.049805,4610.47998,4610.47998,8289027968
09/10/2017,4614.52002,5852.47998,4564.25,5678.189941,5678.189941,14840320000
16/10/2017,5687.569824,6194.879883,5151.439941,6008.419922,6008.419922,14605609856
23/10/2017,6006,6255.709961,5397.879883,6153.850098,6153.850098,14982660096
30/10/2017,6114.850098,7617.47998,6040.850098,7407.410156,7407.410156,19841690624
06/11/2017,7403.220215,7776.419922,5519.009766,5950.069824,5950.069824,32340969984
13/11/2017,5938.25,8101.910156,5844.290039,8036.490234,8036.490234,30253229824
20/11/2017,8039.069824,9522.929688,7762.709961,9330.549805,9330.549805,30501020160
27/11/2017,9352.719727,11858.7002,9202.049805,11323.2002,11323.2002,50411559424
04/12/2017,11315.40039,18353.40039,11081.79981,15455.40039,15455.40039,92115268608
11/12/2017,15427.40039,20089,15404.79981,19140.80078,19140.80078,93877198848
18/12/2017,19106.40039,19371,11833,13925.79981,13925.79981,1.17257E+11
25/12/2017,13995.90039,16930.90039,12350.09961,14156.40039,14156.40039,88557499392
01/01/2018,14112.2002,17712.40039,13154.7002,16477.59961,16477.59961,1.23814E+11
08/01/2018,16476.19922,16537.90039,13105.90039,13772,13772,1.06022E+11
15/01/2018,13767.29981,14445.5,9402.290039,11600.09961,11600.09961,97932879872
22/01/2018,11633.09961,12040.29981,10129.7002,11786.29981,11786.29981,64691999232
29/01/2018,11755.5,11875.59961,7796.490234,8277.009766,8277.009766,60810019840
05/02/2018,8270.540039,9122.549805,6048.259766,8129.970215,8129.970215,62489091072
12/02/2018,8141.430176,11349.79981,8141.430176,10551.79981,10551.79981,53626569728
19/02/2018,10552.59961,11958.5,9407.05957,9664.730469,9664.730469,55388419584
26/02/2018,9669.429688,11528.2002,9501.730469,11512.59961,11512.59961,48902649856
05/03/2018,11532.40039,11704.09961,8513.030273,9578.629883,9578.629883,49671590400
12/03/2018,9602.929688,9937.5,7397.990234,8223.679688,8223.679688,42075919360
19/03/2018,8344.120117,9177.370117,8182.399902,8495.780273,8495.780273,40853020160
26/03/2018,8498.469727,8530.080078,6526.870117,6844.22998,6844.22998,37970689536
02/04/2018,6844.859863,7530.939941,6575,7023.52002,7023.52002,31804380416
09/04/2018,7044.319824,8338.419922,6661.990234,8329.110352,8329.110352,40915320320
16/04/2018,8337.570313,9001.639648,7881.720215,8802.459961,8802.459961,48741869568
23/04/2018,8794.389648,9745.320313,8727.089844,9419.080078,9419.080078,61882420224
30/04/2018,9426.110352,9964.5,8891.049805,9654.799805,9654.799805,57244449280
07/05/2018,9645.669922,9665.849609,8223.5,8723.94043,8723.94043,50119759872
14/05/2018,8713.099609,8881.120117,7974.819824,8513.25,8513.25,42360260096
21/05/2018,8522.330078,8557.519531,7270.959961,7368.220215,7368.220215,35808230144
28/05/2018,7371.310059,7754.890137,7090.680176,7720.25,7720.25,35465450496
04/06/2018,7722.529785,7753.819824,6709.069824,6786.02002,6786.02002,33010609408
11/06/2018,6799.290039,6910.180176,6285.629883,6499.27002,6499.27002,29844289792
18/06/2018,6510.069824,6822.5,5826.410156,6173.22998,6173.22998,28592079872
25/06/2018,6171.970215,6465.509766,5835.75,6385.819824,6385.819824,28842940160
02/07/2018,6380.379883,6885.910156,6305.700195,6773.879883,6773.879883,29906419968
09/07/2018,6775.080078,6838.680176,6136.419922,6359.640137,6359.640137,25200120064
16/07/2018,6357.009766,7594.669922,6357.009766,7418.490234,7418.490234,34261730048
23/07/2018,7414.709961,8424.269531,7409.100098,8218.459961,8218.459961,36446479872
30/07/2018,8221.580078,8235.5,6940.700195,7068.47998,7068.47998,32425310000
06/08/2018,7062.939941,7166.549805,6109.029785,6322.689941,6322.689941,32181950000
13/08/2018,6341.359863,6617.350098,5971.049805,6506.069824,6506.069824,30898230000
20/08/2018,6500.509766,6816.790039,6297.930176,6707.259766,6707.259766,25842490000
27/08/2018,6710.799805,7306.310059,6689.709961,7272.720215,7272.720215,30229310000
03/09/2018,7279.029785,7388.430176,6197.52002,6300.859863,6300.859863,31456960000
10/09/2018,6301.569824,6596.100098,6260.209961,6517.180176,6517.180176,26405400000
17/09/2018,6514.060059,6814.560059,6208.339844,6710.629883,6710.629883,32109420000
24/09/2018,6704.77002,6785.029785,6381.859863,6625.560059,6625.560059,31328000000
01/10/2018,6619.850098,6653.299805,6454.029785,6602.950195,6602.950195,25943820000
08/10/2018,6600.189941,6675.060059,6236.470215,6290.930176,6290.930176,26462410000
15/10/2018,6292.640137,6965.060059,6258.680176,6482.350098,6482.350098,29669680000
22/10/2018,6486.049805,6543.799805,6447.029785,6486.390137,6486.390137,24188720000
29/10/2018,6492.350098,6547.140137,6294.569824,6376.129883,6376.129883,28245180000
05/11/2018,6363.620117,6552.160156,6350.169922,6411.27002,6411.27002,30472560000
12/11/2018,6411.759766,6434.209961,5358.379883,5623.540039,5623.540039,36972800000
19/11/2018,5620.779785,5620.779785,3585.060059,4009.969971,4009.969971,42533970000
26/11/2018,4015.070068,4413.020508,3643.919922,4139.87793,4139.87793,42945276472
03/12/2018,4147.32373,4155.979492,3280.22876,3614.234375,3614.234375,38386467708
10/12/2018,3612.046387,3647.33252,3191.303467,3252.839111,3252.839111,29869247431
17/12/2018,3253.123047,4198.429688,3253.123047,3998.980225,3998.980225,46021506218
24/12/2018,4000.331787,4271.79248,3642.63208,3865.952637,3865.952637,39249734918
31/12/2018,3866.839111,4093.297363,3707.231201,4076.632568,4076.632568,34343716582
