Country Name,GDP Per Capita (USD),"Mortality rate, under-5 (per 1,000 live births)","Incidence of tuberculosis (per 100,000 people)"
North America,61000.85526,6.2,2.7
Namibia,4157.019506,40.2,460
New Caledonia,34694.5504,,10
Niger,567.6698923,77.5,83
Nigeria,2097.092473,113.8,219
Nicaragua,1900.043594,16,42
Netherlands,52396.03221,4.2,4.1
Norway,67329.67779,2.2,3.1
Nepal,1147.471971,28.2,235
Nauru,10580.26819,28.5,180
New Zealand,41596.5055,4.7,7.5
OECD members,38116.42222,6.757258937,
Oman,14485.38612,11,7
Other small states,11792.06642,46.84761639,
Pakistan,1359.514522,65.2,259
Panama,12509.83529,14.3,32
Peru,6117.493571,12.8,116
Philippines,3301.218603,26.4,539
Palau,14243.86469,16.9,64
Papua New Guinea,2757.011019,43.9,441
Poland,15742.45373,4.4,9.6
Pre-demographic dividend,1349.15316,76.65720905,
Puerto Rico,31429.86612,,1.1
"Korea, Dem. People's Rep.",,16.5,523
Portugal,22194.56611,3.3,16
Paraguay,4967.687212,18.9,48
West Bank and Gaza,3233.568638,16.5,0.48
Pacific island small states,3785.503406,23.85777953,
Post-demographic dividend,44330.3117,4.751459699,
French Polynesia,20182.5845,,26
Qatar,50124.38594,5.8,34
Romania,12956.56625,6.9,64
Russian Federation,10161.98242,5.4,46
Rwanda,786.3018148,40.5,58
South Asia,1875.441391,38.5,198
Saudi Arabia,20203.66888,7,8.1
Sudan,615.4620972,56.6,63
Senegal,1462.808169,38.1,117
Singapore,60729.45035,2.2,46
Solomon Islands,2250.601164,19.4,65
Sierra Leone,509.376594,107.8,298
El Salvador,3798.636521,12.9,55
San Marino,45515.7577,1.8,0
Somalia,438.2551656,114.6,259
Serbia,7730.691746,5.6,13
Sub-Saharan Africa (excluding high income),1500.852648,73.27971405,220
South Sudan,,97.9,232
Sub-Saharan Africa,1501.779422,73.3,220
Small states,10787.66873,41.35720183,
Sao Tome and Principe,2157.840446,16.1,118
Suriname,4916.605666,17.6,29
Slovak Republic,19266.51357,5.8,3.2
Slovenia,25489.50023,2.2,4.1
Sweden,52300.2062,2.6,3.6
Eswatini,3434.721798,46.6,319
Sint Maarten (Dutch part),,,2.7
Seychelles,12193.88687,13.9,11
Syrian Arab Republic,,22.4,19
Turks and Caicos Islands,23879.92665,,11
Chad,652.3492096,110,144
East Asia & Pacific (IDA & IBRD countries),8361.938147,14.41116269,
Europe & Central Asia (IDA & IBRD countries),8406.890911,10.31294399,
Togo,914.9507925,64.4,36
Thailand,7158.766684,8.7,150
Tajikistan,852.8309878,32.3,84
Turkmenistan,,41.8,47
Latin America & the Caribbean (IDA & IBRD countries),7062.47559,16.29953964,
Timor-Leste,1442.730738,42.3,508
Middle East & North Africa (IDA & IBRD countries),3189.795404,23.15122169,
Tonga,4624.823449,11.4,10
South Asia (IDA & IBRD),1875.441391,38.48553144,
Sub-Saharan Africa (IDA & IBRD countries),1501.779422,73.27733839,
Trinidad and Tobago,15285.94049,16.6,18
Tunisia,3597.218525,16.6,36
Turkiye,8536.43332,9.5,15
Tuvalu,4668.818743,22,296
Tanzania,1076.469727,48.9,222
Uganda,822.0276815,43.3,196
Ukraine,3751.740723,8.1,73
Upper middle income,9166.460854,11.2,67
Uruguay,15418.81531,6.2,32
United States,63027.67953,6.3,2.4
Uzbekistan,1749.655815,13.9,66
St. Vincent and the Grenadines,7860.821354,14.1,6.7
"Venezuela, RB",,24.2,47
British Virgin Islands,,,3.9
Virgin Islands (U.S.),39552.1686,,
Vietnam,3526.274579,20.9,176
Vanuatu,2919.8368,24.9,38
World,10936.05747,36.6,127
Samoa,4068.078865,17,6.1
Kosovo,4310.811183,,
"Yemen, Rep.",631.68149,59.6,49
South Africa,5655.867654,32.2,554
Zambia,985.132436,61.4,319
Zimbabwe,1214.50982,53.9,193
