Country,Year,value
Australia,1991,9.579999923706056
Australia,1992,10.729999542236328
Australia,1993,10.869999885559082
Australia,1994,9.720000267028809
Australia,1995,8.470000267028809
Australia,1996,8.510000228881836
Australia,1997,8.359999656677246
Australia,1998,7.679999828338623
Australia,1999,6.869999885559082
Australia,2000,6.28000020980835
Australia,2001,6.739999771118164
Australia,2002,6.369999885559082
Australia,2003,5.929999828338623
Australia,2004,5.389999866485596
Australia,2005,5.03000020980835
Australia,2006,4.78000020980835
Australia,2007,4.380000114440918
Australia,2008,4.230000019073486
Australia,2009,5.559999942779541
Australia,2010,5.210000038146973
Australia,2011,5.079999923706055
Australia,2012,5.21999979019165
Australia,2013,5.659999847412109
Australia,2014,6.079999923706055
Australia,2015,6.050000190734863
Australia,2016,5.710000038146973
Australia,2017,5.590000152587891
Australia,2018,5.300000190734863
Australia,2019,5.159999847412109
Australia,2020,6.460000038146973
Australia,2021,5.111999988555908
Canada,1991,10.31999969482422
Canada,1992,11.199999809265137
Canada,1993,11.380000114440918
Canada,1994,10.399999618530272
Canada,1995,9.489999771118164
Canada,1996,9.619999885559082
Canada,1997,9.100000381469728
Canada,1998,8.279999732971191
Canada,1999,7.579999923706055
Canada,2000,6.829999923706055
Canada,2001,7.21999979019165
Canada,2002,7.659999847412109
Canada,2003,7.570000171661377
Canada,2004,7.190000057220459
Canada,2005,6.760000228881836
Canada,2006,6.320000171661377
Canada,2007,6.039999961853027
Canada,2008,6.139999866485596
Canada,2009,8.34000015258789
Canada,2010,8.0600004196167
Canada,2011,7.510000228881836
Canada,2012,7.289999961853027
Canada,2013,7.070000171661377
Canada,2014,6.909999847412109
Canada,2015,6.909999847412109
Canada,2016,7.0
Canada,2017,6.340000152587891
Canada,2018,5.829999923706055
Canada,2019,5.659999847412109
Canada,2020,9.460000038146973
Canada,2021,7.510000228881836
India,1991,5.598999977111816
India,1992,5.727000236511231
India,1993,5.690999984741211
India,1994,5.738999843597412
India,1995,5.755000114440918
India,1996,5.739999771118164
India,1997,5.61299991607666
India,1998,5.665999889373779
India,1999,5.736000061035156
India,2000,5.560999870300293
India,2001,5.576000213623047
India,2002,5.53000020980835
India,2003,5.64300012588501
India,2004,5.629000186920166
India,2005,5.61299991607666
India,2006,5.60099983215332
India,2007,5.572000026702881
India,2008,5.414000034332275
India,2009,5.544000148773193
India,2010,5.546000003814697
India,2011,5.426000118255615
India,2012,5.414000034332275
India,2013,5.423999786376953
India,2014,5.435999870300293
India,2015,5.434999942779541
India,2016,5.422999858856201
India,2017,5.357999801635742
India,2018,5.329999923706055
India,2019,5.269999980926514
India,2020,7.997000217437744
India,2021,5.978000164031982
Ireland,1991,15.779999732971191
Ireland,1992,15.029999732971191
Ireland,1993,15.59000015258789
Ireland,1994,14.56999969482422
Ireland,1995,11.979999542236328
Ireland,1996,11.720000267028809
Ireland,1997,10.199999809265137
Ireland,1998,7.699999809265137
Ireland,1999,5.800000190734863
Ireland,2000,4.320000171661377
Ireland,2001,3.680000066757202
Ireland,2002,4.21999979019165
Ireland,2003,4.480000019073486
Ireland,2004,4.489999771118164
Ireland,2005,4.340000152587891
Ireland,2006,4.409999847412109
Ireland,2007,4.980000019073486
